bench,nr,möbel,kant,pris,orsak,rubrik
b1,9,Matgrupp 5 stolar,dyrast,55000.0,bunt,Miss Holly bord stolar Stolab matgrupp
b1,9,Matgrupp 5 stolar,dyrast,49000.0,bunt,soffgrupp/ Matgrupp
b1,9,Matgrupp 5 stolar,billigast,10.0,bunt,"3-4 sitts Soffa med Twist, Matgrupp 6 stolar"
b1,9,Matgrupp 5 stolar,billigast,10.0,bunt,"Matgrupp med bord och två vitrinskåp i trä, vit/ek från Xxxlutz"
b1,9,Matgrupp 5 stolar,billigast,50.0,bunt,"MATGRUPP, MASSIV ASK, SPECIALBESTÄLLD TILLVERKNING, 1900-TAL, BORD SAMT 4 STOLAR."
b1,9,Matgrupp 5 stolar,billigast,50.0,bunt,"MATGRUPP, BORD MED 4 STOLAR, 1900-TAL."
b1,9,Matgrupp 5 stolar,billigast,50.0,bunt,"MATGRUPP ""AXET"" BORD MED 4 STOLAR, 2 ILÄGGSKIVOR, 1900-TAL."
b1,10,Ekbord med stolar,dyrast,90000.0,bunt,Runt matbord i mörkt trä med stolar
b1,10,Ekbord med stolar,dyrast,75000.0,bunt,Soffgrupp soffor matbord bord
b1,10,Ekbord med stolar,dyrast,57000.0,tillbehör,"MATBORD, Georg III, England 1800-talets första hälft, fanerat och massiv mahogny, beslag i mässing."
b1,10,Ekbord med stolar,dyrast,57000.0,bunt,"Matbord och taklampa, bordet i koppar med travertinskiva, taklampan i koppar med perforerad dekor. erik glemme"
b1,10,Ekbord med stolar,dyrast,54000.0,bunt,"Gubi matbord valnöt, Charlie pommier Otto matstolar"
b1,10,Ekbord med stolar,billigast,10.0,bunt,Stort matbord Bortskänkes (4 stolar)
b1,10,Ekbord med stolar,billigast,50.0,bunt,"MATBORD med 6 stolar, Engelsk stil."
b1,10,Ekbord med stolar,billigast,50.0,bunt,MATBORD med iläggsskivor samt 6 stolar.
b1,10,Ekbord med stolar,billigast,50.0,bunt,"MATBORD MED 6 STOLAR, bambu, 1900-talets senare del."
b1,10,Ekbord med stolar,billigast,50.0,bunt,"MATBORD med 6 STOLAR, rokokostil."
b2,1,ikea norsborg,dyrast,5800.0,bunt,Soffa IKEA Norsborg och två soffbord
b2,1,ikea norsborg,dyrast,2500.0,sektion,3-sitssoffa med schäslong - IKEA Norsborg
b2,1,ikea norsborg,dyrast,2500.0,tillbehör,IKEA Norsborg 3-sits soffa – Vit klädsel
b2,1,ikea norsborg,dyrast,2000.0,sektion,Blå IKEA-soffa Norsborg med schäslong
b2,1,ikea norsborg,dyrast,1500.0,bunt,Soffa IKEA Norsborg 4-sits hörnsoffa
b2,1,ikea norsborg,billigast,500.0,tillbehör,Soffa med divan (IKEA Norsborg) sliten klädsel
b2,1,ikea norsborg,billigast,600.0,bunt,Ikea Norsborg Soffa inkl fotpall
b2,1,ikea norsborg,billigast,800.0,bunt,Soffa IKEA Norsborg 4-sits hörnsoffa
b2,1,ikea norsborg,billigast,900.0,tillbehör,Soffa IKEA Norsborg med Bemz klädsel
b2,1,ikea norsborg,billigast,1200.0,tillbehör,Tresitsig tygsoffa Ikeas Norsborg grå klädsel.
b2,2,Bolia soffa med puff,dyrast,50000.0,tillbehör,Helt ny Bolia Sepia 3-sits soffa med puff &amp; kuddar
b2,2,Bolia soffa med puff,dyrast,40000.0,tillbehör,Helt ny Bolia Sepia 3-sits soffa med puff och kuddar
b2,2,Bolia soffa med puff,dyrast,4000.0,tillbehör,Soffa Bolia med puff och kuddar
b2,2,Bolia soffa med puff,billigast,4000.0,tillbehör,Soffa Bolia med puff och kuddar
b2,2,Bolia soffa med puff,billigast,40000.0,tillbehör,Helt ny Bolia Sepia 3-sits soffa med puff och kuddar
b2,2,Bolia soffa med puff,billigast,50000.0,tillbehör,Helt ny Bolia Sepia 3-sits soffa med puff &amp; kuddar
b2,3,Mio Harper soffa,dyrast,22000.0,bunt,"Mio Harper, 1st soffa + 2st fåtöljer"
b2,3,Mio Harper soffa,dyrast,20000.0,bunt,"Harper MIO soffa, fåtölj &amp; fotpall"
b2,3,Mio Harper soffa,dyrast,19000.0,typmotsägelse,Mio soffgrupp Harper
b2,3,Mio Harper soffa,dyrast,18000.0,bunt,Soffa & Fåtölj ”Harper” från Mio
b2,3,Mio Harper soffa,dyrast,17500.0,bunt,Harper 4sits soffa med fåtölj från Mio
b2,3,Mio Harper soffa,billigast,60.0,tillbehör,Harper Mio soffben
b2,3,Mio Harper soffa,billigast,200.0,tillbehör,Mio soffben Harper svart metall
b2,3,Mio Harper soffa,billigast,300.0,typmotsägelse,Mio Harper fotpall
b2,3,Mio Harper soffa,billigast,500.0,typmotsägelse,Harper Fotpall Mios
b2,3,Mio Harper soffa,billigast,550.0,typmotsägelse,"FOTPALL, ""Harper"", Mio."
b2,4,Jysk Egedal,dyrast,1300.0,bunt,egedal soffa &amp; fåtölj från jysk
b2,4,Jysk Egedal,billigast,1300.0,bunt,egedal soffa &amp; fåtölj från jysk
b2,6,Jysk fåtölj,dyrast,5500.0,bunt,Soffa 3 sits Ilva +fåtölj i samma färg( Jysk)
b2,6,Jysk fåtölj,dyrast,5000.0,bunt,Soffa 3 sits Ilva +fåtölj i samma färg( Jysk)
b2,6,Jysk fåtölj,dyrast,4800.0,bunt,Jysk grå soffa med fåtölj och vit tv-bänk
b2,6,Jysk fåtölj,dyrast,4500.0,typmotsägelse,Sammetsfåtöljer Jysk EGEDAL
b2,6,Jysk fåtölj,dyrast,4000.0,bunt,Ikea Soffa Hylltarp 2 Jysk fåtöljer
b2,6,Jysk fåtölj,billigast,200.0,bunt,Fåtölj med fotpall från Jysk
b2,6,Jysk fåtölj,billigast,200.0,bunt,Stol/fåtölj (2st)
b2,6,Jysk fåtölj,billigast,222.0,bunt,2st fåtöljer - Liknar Jysk Acapulco - Stol - Utemöbler - Loungestol
b2,6,Jysk fåtölj,billigast,300.0,bunt,2 st fåtöljer Jysk Tankedal med fotpall
b2,6,Jysk fåtölj,billigast,400.0,bunt,fåtölj fotpall jysk
b2,7,Swedese Lamino,dyrast,26000.0,bunt,"YNGVE EKSTRÖM, ""Lamino"", 1-par, fåtöljer med fotpall, för Swedese, samtida, vitpigmenterad ek och fårskinn."
b2,7,Swedese Lamino,dyrast,24000.0,bunt,Lamino Swedese fåtöljer och bord
b2,7,Swedese Lamino,dyrast,20000.0,tillbehör,"Fåtöljer, fotpallar och bord, 5 delar, ""Lamino"", ek och svart fårskinn, Yngve Ekström för Swedese."
b2,7,Swedese Lamino,dyrast,20000.0,bunt,Två Lamino fåtöljer med en pall
b2,7,Swedese Lamino,dyrast,20000.0,bunt,Swedese Lamino Fåtölj &amp; Fotpall - Black Edition
b2,7,Swedese Lamino,billigast,393.0,tillbehör,"Delar till fåtölj & pall, 7 st, Lamino, Swedese. yngve ekström"
b2,7,Swedese Lamino,billigast,819.0,bunt,"Pall, ""Lamino"", Swedese, stomme i svartfärgad bok och svartfärgat fårskinn, brännmärkt, samtida. yngve ekström"
b2,7,Swedese Lamino,billigast,850.0,bunt,"PALL med fårskinn, ""Lamino"", Yngve Ekström, Swedese."
b2,7,Swedese Lamino,billigast,950.0,bunt,"Fotpall, teak och bok, Lamino, Swedese. yngve ekström"
b2,7,Swedese Lamino,billigast,1000.0,bunt,Swedese lamino fåtölj och fotpall
b2,8,DUX Bruno Mathsson Eva,dyrast,11000.0,bunt,"karmstolar, 1 par, ""Eva"", Dux, skinn, brännmärkta. bruno mathsson"
b2,8,DUX Bruno Mathsson Eva,dyrast,9800.0,tillbehör,"""Eva"" fåtöljer, 1 par, för DUX, stomme av skiktlimmad bok, klädsel i flätat läder, brännmärkta. bruno mathsson"
b2,8,DUX Bruno Mathsson Eva,dyrast,7250.0,bunt,"Karmstolar, ett par, ""Eva"", brännmärkta, för Dux. bruno mathsson"
b2,8,DUX Bruno Mathsson Eva,dyrast,7250.0,bunt,"1 par, ""Eva"", karmstolar, Dux, bok, flätad sadelgjord i skinn, brännmärkta. bruno mathsson"
b2,8,DUX Bruno Mathsson Eva,dyrast,7000.0,tillbehör,"Fåtölj, ""Eva låg"", Dux, stomme i bok med klädsel i grått fårskinn. bruno mathsson"
b2,8,DUX Bruno Mathsson Eva,billigast,1250.0,bunt,"KARMSTOL, ett par, ""Eva"", Bruno Mathsson för Dux, 1900-talets andra hälft."
b2,8,DUX Bruno Mathsson Eva,billigast,2008.0,bunt,"Stolar ""Eva"" ett par, bok, sadelgjord, Dux. bruno mathsson"
b2,8,DUX Bruno Mathsson Eva,billigast,2750.0,bunt,"Fåtölj ""Eva hög"" med fotpall, ""Pernilla"", Dux. bruno mathsson"
b2,8,DUX Bruno Mathsson Eva,billigast,2750.0,tillbehör,"Stommar i bok med klädsel i sadelgjord. ""Eva"", Dux, märkta på baksidan. bruno mathsson. fåtöljer, ett par"
b2,8,DUX Bruno Mathsson Eva,billigast,2800.0,tillbehör,"fåtölj, ""Eva"", Dux, stomma av bok, klädsel i läder. bruno mathsson"
b2,9,Matbord trä,dyrast,90000.0,bunt,Runt matbord i mörkt trä med stolar
b2,9,Matbord trä,dyrast,75000.0,bunt,Soffgrupp soffor matbord bord
b2,9,Matbord trä,dyrast,57000.0,tillbehör,"MATBORD, Georg III, England 1800-talets första hälft, fanerat och massiv mahogny, beslag i mässing."
b2,9,Matbord trä,dyrast,57000.0,bunt,"Matbord och taklampa, bordet i koppar med travertinskiva, taklampan i koppar med perforerad dekor. erik glemme"
b2,9,Matbord trä,dyrast,54000.0,bunt,"Gubi matbord valnöt, Charlie pommier Otto matstolar"
b2,9,Matbord trä,billigast,10.0,bunt,Stort matbord Bortskänkes (4 stolar)
b2,9,Matbord trä,billigast,50.0,bunt,"MATBORD med 6 stolar, Engelsk stil."
b2,9,Matbord trä,billigast,50.0,bunt,MATBORD med iläggsskivor samt 6 stolar.
b2,9,Matbord trä,billigast,50.0,bunt,"MATBORD MED 6 STOLAR, bambu, 1900-talets senare del."
b2,9,Matbord trä,billigast,50.0,bunt,"MATBORD med 6 STOLAR, rokokostil."
b2,10,Mio matgrupp,dyrast,230000.0,bunt,Mio matgrupp med vitrinskåp
b2,10,Mio matgrupp,dyrast,23000.0,bunt,Mio matgrupp med vitrinskåp
b2,10,Mio matgrupp,dyrast,23000.0,bunt,Mio matgrupp med vitrinskåp
b2,10,Mio matgrupp,dyrast,22000.0,bunt,Matgrupp Mio &amp; Skänk
b2,10,Mio matgrupp,dyrast,20000.0,bunt,Matbord stolar matgrupp
b2,10,Mio matgrupp,billigast,50.0,bunt,Nätt matgrupp/köksbord Ikea PS 2012 + 4 vita stolar Mio
b2,10,Mio matgrupp,billigast,58.0,bunt,Matgrupp ifrån Mio 6 stolar
